"","Hot-Box temp Ave. (C)","Wood inside temp Ave. (C)","Wood outside temp Ave. (C)","Frigolit inside temp Ave. (C)","Frigolit outside temp Ave. (C)","Glass 1-layer inside temp Ave. (C)","Glass 1-layer outside temp Ave. (C)","Hot-Box 2 layer box Ave. (C)","Room temp Ave. (C)","Glass 2-layer inside temp Ave. (C)","Glass 2-layer outside temp Ave. (C)"

"00:25:00","39.594","35.412","25.698","38.166","21.224","30.886","28.226","39.732","20.460","35.662","27.288"
"00:26:00","39.551","35.404","25.652","38.171","21.225","30.898","28.254","39.658","20.453","35.573","27.284"
"00:27:00","39.538","35.378","25.724","38.163","21.183","30.893","28.232","39.613","20.447","35.495","27.112"
"00:28:00","39.506","35.360","25.740","38.144","21.202","30.860","28.268","39.597","20.373","35.419","27.096"
"00:29:00","39.463","35.350","25.758","38.136","21.232","30.858","28.222","39.559","20.442","35.345","27.167"
"00:30:00","39.499","35.338","25.682","38.136","21.238","30.834","28.255","39.561","20.462","35.286","27.018"
"00:31:00","39.424","35.333","25.624","38.133","21.245","30.838","28.277","39.584","20.507","35.222","27.097"
"00:32:00","39.503","35.340","25.653","38.146","21.189","30.856","28.244","39.634","20.481","35.169","27.076"
"00:33:00","39.616","35.344","25.559","38.166","21.185","30.883","28.309","39.691","20.433","35.127","27.020"
"00:34:00","39.539","35.344","25.656","38.172","21.131","30.898","28.313","39.720","20.366","35.079","27.028"
