"","Hot-Box temp Ave. (C)","Wood inside temp Ave. (C)","Wood outside temp Ave. (C)","Frigolit isinde temp Ave. (C)","Frigolit outside temp Ave. (C)","Glass 1 layer iside tremp Ave. (C)","Glass 1 layer outside temp Ave. (C)","Hot-Box 2 layer box Ave. (C)","Room temp Ave. (C)","Glass 2 layer inside temp Ave. (C)","Glass 2 layer outside temp Ave. (C)"
"00:00:00","39.599","35.920","25.646","38.140","20.796","31.060","28.489","42.271","20.801","39.978","28.606"
"00:01:00","39.476","35.900","25.674","38.122","20.759","31.065","28.425","43.340","20.493","39.927","28.437"
"00:02:00","39.479","35.853","25.582","38.112","20.634","31.018","28.400","44.126","20.228","39.792","28.336"
"00:03:00","39.440","35.825","25.562","38.110","20.714","31.011","28.415","43.981","20.197","39.620","28.343"
"00:04:00","39.456","35.791","25.599","38.117","20.737","30.996","28.366","43.519","20.199","39.431","28.365"
"00:05:00","39.512","35.766","25.648","38.170","20.807","30.999","28.371","42.977","20.166","39.198","28.254"
"00:06:00","39.618","35.739","25.650","38.218","20.884","30.999","28.346","42.409","20.282","38.959","28.233"
"00:07:00","39.564","35.713","25.688","38.243","20.962","30.995","28.357","41.847","20.235","38.702","28.255"
"00:08:00","39.572","35.680","25.703","38.251","20.939","30.994","28.377","41.321","20.148","38.438","28.180"
"00:09:00","39.530","35.659","25.758","38.245","20.949","30.984","28.240","40.826","20.255","38.165","28.075"
"00:10:00","39.553","35.625","25.695","38.219","21.003","30.949","28.324","40.356","20.330","37.886","28.038"
"00:11:00","39.495","35.607","25.719","38.205","21.097","30.944","28.367","39.949","20.352","37.610","27.940"
"00:12:00","39.433","35.572","25.613","38.182","20.990","30.933","28.306","39.622","20.265","37.338","27.817"
"00:13:00","39.425","35.573","25.584","38.171","20.900","30.917","28.322","39.403","20.244","37.106","27.720"
"00:14:00","39.499","35.588","25.634","38.209","20.861","30.933","28.296","39.296","20.233","36.894","27.693"
"00:15:00","39.573","35.585","25.640","38.244","20.946","30.933","28.320","39.337","20.333","36.708","27.648"
"00:16:00","39.643","35.576","25.602","38.255","21.022","30.949","28.310","39.482","20.266","36.549","27.650"
"00:17:00","39.623","35.567","25.605","38.256","20.975","30.948","28.305","39.675","20.336","36.419","27.628"
"00:18:00","39.579","35.557","25.601","38.235","21.036","30.936","28.305","39.854","20.358","36.305","27.540"
"00:19:00","39.562","35.529","25.660","38.214","21.086","30.914","28.295","40.038","20.328","36.200","27.420"
"00:20:00","39.581","35.498","25.660","38.192","21.145","30.908","28.265","40.166","20.371","36.109","27.385"
"00:21:00","39.521","35.475","25.687","38.181","21.146","30.901","28.274","40.123","20.342","36.024","27.307"
"00:22:00","39.478","35.439","25.685","38.160","21.149","30.883","28.232","40.075","20.469","35.933","27.340"
"00:23:00","39.442","35.429","25.655","38.152","21.153","30.884","28.272","39.975","20.488","35.840","27.347"
"00:24:00","39.573","35.424","25.661","38.152","21.186","30.872","28.223","39.857","20.463","35.748","27.321"
"00:25:00","39.594","35.412","25.698","38.166","21.224","30.886","28.226","39.732","20.460","35.662","27.288"
"00:26:00","39.551","35.404","25.652","38.171","21.225","30.898","28.254","39.658","20.453","35.573","27.284"
"00:27:00","39.538","35.378","25.724","38.163","21.183","30.893","28.232","39.613","20.447","35.495","27.112"
"00:28:00","39.506","35.360","25.740","38.144","21.202","30.860","28.268","39.597","20.373","35.419","27.096"
"00:29:00","39.463","35.350","25.758","38.136","21.232","30.858","28.222","39.559","20.442","35.345","27.167"
"00:30:00","39.499","35.338","25.682","38.136","21.238","30.834","28.255","39.561","20.462","35.286","27.018"
"00:31:00","39.424","35.333","25.624","38.133","21.245","30.838","28.277","39.584","20.507","35.222","27.097"
"00:32:00","39.503","35.340","25.653","38.146","21.189","30.856","28.244","39.634","20.481","35.169","27.076"
"00:33:00","39.616","35.344","25.559","38.166","21.185","30.883","28.309","39.691","20.433","35.127","27.020"
"00:34:00","39.539","35.344","25.656","38.172","21.131","30.898","28.313","39.720","20.366","35.079","27.028"
