V,p
178.996539,1.995595
181.713704,1.972405
183.909185,1.941485
186.121511,1.918295
189.046869,1.874492
191.289252,1.833265
194.386938,1.797192
196.505739,1.771425
199.335470,1.745659
201.883290,1.725045
204.004711,1.701855
206.968072,1.683819
209.358029,1.660629
212.434089,1.634862
212.851780,1.609096
215.209312,1.578176
217.822802,1.539526
220.274533,1.503453
222.565448,1.462226
225.358293,1.433883
227.585909,1.410693
230.292378,1.392656
232.192408,1.377196
234.925055,1.361736
236.989582,1.343700
239.596084,1.325663
241.556791,1.310203
243.468387,1.292167
245.543984,1.274130
247.656135,1.253517
249.590533,1.230327
251.355640,1.209713
252.774684,1.186523
254.679486,1.153027
256.149406,1.122107
257.713655,1.096340
259.117025,1.075727
260.796002,1.057691
262.018430,1.044807
262.912480,1.029347
264.158796,1.037077
265.083080,1.013887
266.256776,1.003581
266.827535,0.998427
267.578544,0.993274
268.198024,0.988121
268.753881,0.982967
269.208247,0.977814
269.528205,0.972661
269.788557,0.970084
269.934188,0.962354
269.994056,0.959777
269.955891,0.957201
269.838896,0.954624
269.558690,0.954624
269.268399,0.952047
268.905596,0.949471
268.320018,0.949471
267.755691,0.949471
266.948112,0.946894
266.205863,0.946894
265.435786,0.944318
264.432420,0.946894
263.394102,0.944318
262.271795,0.944318
261.066986,0.946894
259.854793,0.946894
258.259883,0.946894
257.138060,0.946894
255.369749,0.949471
253.774460,0.949471
251.728131,0.952047
250.175353,0.957201
248.365777,0.957201
246.492122,0.962354
244.447603,0.967507
242.224653,0.967507
240.396390,0.975237
238.643950,0.977814
236.009850,0.988121
234.172691,0.993274
231.421799,0.998427
229.381777,1.008734
226.395911,1.013887
224.151905,1.019041
222.282350,1.026771
219.445005,1.034501
217.122185,1.037077
213.947856,1.044807
211.860956,1.055114
209.622949,1.062844
206.670648,1.065421
204.271632,1.075727
201.726055,1.086034
199.036645,1.091187
197.055661,1.106647
193.807049,1.116954
191.695167,1.127260
188.612108,1.137567
186.106095,1.155604
183.343368,1.173640
181.016294,1.194253
178.846552,1.220020
176.165778,1.245787
173.786289,1.271553
171.183280,1.289590
169.261724,1.305050
167.243280,1.323086
164.891085,1.338546
162.830318,1.354006
160.696258,1.372043
158.842945,1.392656
157.032716,1.415846
154.617474,1.444189
153.021929,1.469956
151.265974,1.529219
149.665885,1.562716
147.552130,1.585906
146.351622,1.606519
144.837795,1.624556
143.306010,1.650322
142.086816,1.668359
140.619136,1.691549
139.451098,1.722469
138.481020,1.753389
137.180911,1.786885
136.450036,1.830688
135.261298,1.866762
134.583787,1.895105
133.720423,1.920871
132.985635,1.941485
132.439946,1.959521
131.817968,1.982711
131.396621,2.003325
130.912800,2.023938
130.602844,2.047128
130.371155,2.070318
130.155292,2.093508
130.046085,2.119274
130.000541,2.147617
130.032442,2.178537
130.112633,2.206881
130.316694,2.237801
130.515606,2.260990
130.870264,2.281604
