V,p
249.87831,0.957201
248.365777,0.957201
246.492122,0.962354
244.447603,0.967507
242.224653,0.967507
240.39639,0.975237
238.64395,0.977814
236.00985,0.988121
234.172691,0.993274
231.421799,0.998427
229.381777,1.008734
226.395911,1.013887
224.151905,1.019041
222.28235,1.026771
219.445005,1.034501
217.122185,1.037077
213.947856,1.044807
211.860956,1.055114
209.622949,1.062844
206.670648,1.065421
204.271632,1.075727
201.726055,1.086034
199.036645,1.091187
197.055661,1.106647
193.807049,1.116954
191.695167,1.12726
188.612108,1.137567
186.106095,1.155604
183.343368,1.17364
181.016294,1.194253
178.846552,1.22002
176.165778,1.245787
173.786289,1.271553
171.18328,1.28959
169.261724,1.30505
167.24328,1.323086
164.891085,1.338546
162.830318,1.354006
160.696258,1.372043
158.842945,1.392656
157.032716,1.415846
154.617474,1.444189
153.021929,1.469956
151.265974,1.529219
149.665885,1.562716
147.55213,1.585906
146.351622,1.606519
144.837795,1.624556
143.30601,1.650322
142.086816,1.668359
140.619136,1.691549
139.451098,1.722469
138.48102,1.753389
137.180911,1.786885
136.450036,1.830688
135.261298,1.866762
134.583787,1.895105
133.720423,1.920871
132.985635,1.941485
132.439946,1.959521
131.817968,1.982711
131.396621,2.003325
130.9128,2.023938
130.602844,2.047128
130.371155,2.070318
130.155292,2.093508
130.046085,2.119274
130.000541,2.147617
130.032442,2.178537
130.112633,2.206881
130.316694,2.237801
130.515606,2.26099
130.870264,2.281604
131.262422,2.294487
131.757922,2.30737
132.297958,2.317677
132.868619,2.32283
133.545392,2.327984
134.34067,2.333137
135.213542,2.33829
135.989915,2.33829
136.878657,2.333137
138.021733,2.333137
139.03709,2.327984
140.329472,2.320254
141.466923,2.320254
143.149587,2.3151
144.328511,2.304794
145.552055,2.297064
147.189166,2.286757
148.703184,2.279027
150.771567,2.271297
151.993602,2.263567
153.773036,2.245531
155.936267,2.232647
157.493626,2.214611
159.661435,2.201727
161.533276,2.170807
163.324738,2.145041
165.765554,2.111544
167.884433,2.088354
170.425631,2.067741
172.363504,2.047128
174.854417,2.026514
177.114702,2.008478
179.402032,1.990441
182.123967,1.969828
184.460778,1.938908
187.233268,1.910565
189.466513,1.866762
191.851365,1.828112
194.669189,1.794615
197.071376,1.766272
199.901695,1.748235
202.166289,1.725045
204.711128,1.704432
207.531261,1.681242
209.778719,1.658052
212.712601,1.632286
213.268998,1.603942
216.450316,1.570446
218.369787,1.534373
220.950941,1.490569
223.234292,1.446766
226.016704,1.421
228.752202,1.402963
230.801851,1.39008
232.694152,1.36689
235.292453,1.354006
237.22964,1.33597
240.061724,1.32051
241.670619,1.302473
244.459753,1.287013
246.29189,1.2664
247.759725,1.248363
249.590533,1.22775
251.547605,1.20456
253.602885,1.17364
255.031229,1.147874
256.569183,1.116954
258.190035,1.091187
259.567499,1.070574
260.725712,1.055114
262.149212,1.039654
263.219599,1.029347
264.49373,1.021617
265.238235,1.013887
266.210969,1.006157
266.99388,0.995851
267.83014,0.993274
268.354098,0.985544
268.832389,0.980391
269.270666,0.975237
269.606688,0.972661
269.858523,0.967507
269.965861,0.964931
269.999972,0.959777
269.93953,0.959777
269.798217,0.957201
269.492934,0.954624
269.205887,0.952047
268.614299,0.952047
268.09739,0.949471
267.647771,0.946894
266.864879,0.952047
266.159756,0.944318
264.813229,0.949471
264.152505,0.949471
263.151908,0.949471
261.945335,0.946894
260.788205,0.949471
259.335011,0.949471
258.023393,0.949471
256.89168,0.949471
254.846034,0.952047
253.592768,0.957201
251.344951,0.954624
249.87831,0.957201
